ZIP Code,Positive
10001,238
10002,645
10003,323
10004,23
10005,41
10006,12
10007,35
10009,470
10010,188
10011,375
10012,109
10013,167
10014,223
10016,470
10017,98
10018,159
10019,411
10021,405
10022,236
10023,406
10024,436
10025,790
10026,391
10027,599
10028,343
10029,1037
10030,313
10031,726
10032,820
10033,700
10034,383
10035,555
10036,270
10037,267
10038,160
10039,298
10040,555
10044,100
10065,230
10069,38
10075,287
10128,453
10280,31
10282,51
10301,678
10302,360
10303,533
10304,851
10305,753
10306,954
10307,257
10308,459
10309,617
10310,425
10312,1082
10314,1717
10451,887
10452,1195
10453,1261
10454,616
10455,652
10456,1295
10457,1092
10458,1083
10459,824
10460,875
10461,1107
10462,1308
10463,1021
10464,80
10465,941
10466,1393
10467,1972
10468,1381
10469,1724
10470,284
10471,326
10472,1035
10473,1170
10474,187
10475,1042
11004,353
11101,374
11102,336
11103,321
11104,285
11105,309
11106,366
11109,40
11201,402
11203,1148
11204,1185
11205,423
11206,837
11207,1056
11208,1173
11209,667
11210,1042
11211,1293
11212,948
11213,873
11214,859
11215,383
11216,419
11217,357
11218,1043
11219,1833
11220,870
11221,698
11222,277
11223,999
11224,551
11225,711
11226,1148
11228,388
11229,925
11230,1414
11231,258
11232,303
11233,666
11234,1417
11235,1056
11236,1558
11237,489
11238,476
11239,293
11354,517
11355,657
11356,323
11357,484
11358,324
11360,190
11361,271
11362,186
11363,72
11364,288
11365,492
11366,266
11367,636
11368,2563
11369,953
11370,896
11372,1545
11373,1978
11374,727
11375,1026
11377,1253
11378,426
11379,476
11385,1167
11411,443
11412,759
11413,820
11414,537
11415,322
11416,359
11417,469
11418,578
11419,611
11420,759
11421,677
11422,606
11423,556
11426,319
11427,483
11428,396
11429,595
11432,937
11433,529
11434,1190
11435,884
11436,303
11691,1302
11692,343
11693,228
11694,405
11697,69
