ZIP Code,Positive
19154,140
19153,77
19152,177
19151,229
19150,156
19149,229
19148,210
19147,139
19146,201
19145,248
19144,239
19143,346
19142,192
19141,199
19140,250
19139,309
19138,176
19137,17
19136,257
19135,135
19134,189
19133,134
19132,218
19131,349
19130,100
19129,50
19128,156
19127,14
19126,156
19125,83
19124,314
19123,126
19122,84
19121,170
19120,319
19119,149
19118,43
19116,248
19115,261
19114,141
19112,1
19111,305
19107,78
19106,33
19104,251
19103,101
19102,33
